Year,Date,Champion & Repertoire,Score,Location,Venue
2019,10 August,Blue Devils,98.325,"Indianapolis, Indiana",Lucas Oil Stadium
2018,11 August,Santa Clara Vanguard,98.625,"Indianapolis, Indiana",Lucas Oil Stadium
2017,12 August,Blue Devils,98.538,"Indianapolis, Indiana",Lucas Oil Stadium
2016,13 August,Bluecoats,97.65,"Indianapolis, Indiana",Lucas Oil Stadium
2015,8 August,Blue Devils,97.65,"Indianapolis, Indiana",Lucas Oil Stadium
2014,9 August,Blue Devils,99.65,"Indianapolis, Indiana",Lucas Oil Stadium
2013,10 August,Carolina Crown,98.3,"Indianapolis, Indiana",Lucas Oil Stadium
2012,11 August,Blue Devils,98.7,"Indianapolis, Indiana",Lucas Oil Stadium
2011,13 August,The Cadets,98.35,"Indianapolis, Indiana",Lucas Oil Stadium
2010,14 August,Blue Devils,98.9,"Indianapolis, Indiana",Lucas Oil Stadium
2009,8 August,Blue Devils,99.05,"Indianapolis, Indiana",Lucas Oil Stadium
2008,9 August,Phantom Regiment,98.125,"Bloomington, Indiana",Memorial Stadium
2007,11 August,Blue Devils,98.0,"Pasadena, California",Rose Bowl
2006,12 August,The Cavaliers,97.2,"Madison, Wisconsin",Camp Randall Stadium
2005,13 August,The Cadets,99.15,"Foxborough, Massachusetts",Gillette Stadium
2004,7 August,The Cavaliers,98.7,"Denver, Colorado",INVESCO Field at Mile High
2003,9 August,Blue Devils,98.8,"Orlando, Florida",Citrus Bowl
2002,10 August,The Cavaliers,99.15,"Madison, Wisconsin",Camp Randall Stadium
2001,11 August,The Cavaliers,98.35,"Orchard Park, New York",Ralph Wilson Stadium
2000,12 August,The Cadets,97.65,"College Park, Maryland",Byrd Stadium
1999,14 August,Blue Devils,98.4,"Madison, Wisconsin",Camp Randall Stadium
1998,15 August,The Cadets,98.4,"Orlando, Florida",Citrus Bowl
1997,16 August,Blue Devils,98.4,"Orlando, Florida",Citrus Bowl
1996,17 August,Blue Devils,97.4,"Orlando, Florida",Citrus Bowl
1995,12 August,The Cavaliers,98.3,"Orchard Park, New York",Rich Stadium
1994,20 August,Blue Devils,98.4,"Foxborough, Massachusetts",Foxboro Stadium
1993,21 August,The Cadets,97.4,"Jackson, Mississippi",Mississippi Veterans Memorial Stadium
1992,15 August,The Cavaliers,97.5,"Madison, Wisconsin",Camp Randall Stadium
1991,17 August,Star of Indiana,97.0,"Dallas, Texas",Cotton Bowl
1990,18 August,The Cadets,97.7,"Orchard Park, New York",Rich Stadium
1989,19 August,Santa Clara Vanguard,98.8,"Kansas City, Missouri",Arrowhead Stadium
1988,20 August,Madison Scouts,97.1,"Kansas City, Missouri",Arrowhead Stadium
1987,15 August,The Cadets,97.9,"Madison, Wisconsin",Camp Randall Stadium
1986,16 August,Blue Devils,98.4,"Madison, Wisconsin",Camp Randall Stadium
1985,17 August,The Cadets,98.4,"Madison, Wisconsin",Camp Randall Stadium
1984,18 August,The Cadets,98.0,"Atlanta, Georgia",Grant Field
1983,20 August,The Cadets,94.4,"Miami, Florida",Miami Orange Bowl
1982,21 August,Blue Devils,95.25,"Montreal, Quebec",Olympic Stadium
1981,22 August,Santa Clara Vanguard,94.0,"Montreal, Quebec",Olympic Stadium
1980,16 August,Blue Devils,90.6,"Birmingham, Alabama",Legion Field
1979,18 August,Blue Devils,93.55,"Birmingham, Alabama",Legion Field
1978,18 August,Santa Clara Vanguard,91.55,"Denver, Colorado",Mile High Stadium
1977,19 August,Blue Devils,92.05,"Denver, Colorado",Mile High Stadium
1976,21 August,Blue Devils,92.7,"Philadelphia, Pennsylvania",Franklin Field
1975,16 August,Madison Scouts,92.5,"Philadelphia, Pennsylvania",Franklin Field
1974,17 August,Santa Clara Vanguard,89.5,"Ithaca, New York",Schoellkopf Field
1973,17 August,Santa Clara Vanguard,88.65,"Whitewater, Wisconsin",Warhawk Stadium
1972,18 August,Anaheim Kingsmen,88.1,"Whitewater, Wisconsin",Warhawk Stadium
2000,12 August,The Cavaliers,97.65,"College Park, Maryland",Byrd Stadium
1999,14 August,Santa Clara Vanguard,98.4,"Madison, Wisconsin",Camp Randall Stadium
1996,17 August,Phantom Regiment,97.4,"Orlando, Florida",Citrus Bowl
